id,created_at,favorite_count,retweet_count,sentiment
1278757900568023041,2020-07-02 18:30:16+00:00,16213,1508,0.0
1274443110362214405,2020-06-20 20:44:50+00:00,20623,2140,0.0
1270173874844397569,2020-06-09 02:00:25+00:00,15279,1485,0.0
1259307919721459712,2020-05-10 02:22:59+00:00,42140,3270,0.0
1248048276714094592,2020-04-09 00:41:11+00:00,32619,3015,0.6
1246940326838718464,2020-04-05 23:18:35+00:00,38505,7921,0.0
1241824684586352640,2020-03-22 20:30:51+00:00,1393,180,0.5625
1239607579518484480,2020-03-16 17:40:52+00:00,38803,5284,0.0
1239021421264691200,2020-03-15 02:51:41+00:00,19930,1185,0.04545454545454545
1237395237099556864,2020-03-10 15:09:48+00:00,7781,784,0.45
1235662616695107587,2020-03-05 20:24:59+00:00,47433,3606,0.0
1235278941494980608,2020-03-04 19:00:24+00:00,17341,1799,0.25
1228852344265179136,2020-02-16 01:23:24+00:00,28645,3911,0.0
1226628461277483008,2020-02-09 22:06:29+00:00,37215,3932,0.7
1219356237176795136,2020-01-20 20:29:16+00:00,15767,2180,0.0
1214488420770181121,2020-01-07 10:06:18+00:00,19086,2162,0.125
1211489609978437632,2019-12-30 03:30:06+00:00,16151,1359,0.0
1209532295813554176,2019-12-24 17:52:26+00:00,21847,1987,-0.08333333333333333
1205693814024753153,2019-12-14 03:39:40+00:00,8680,611,0.0
1205279119551815680,2019-12-13 00:11:49+00:00,10215,736,0.4
1203082344602591232,2019-12-06 22:42:37+00:00,16805,1303,0.0
1202279527839191040,2019-12-04 17:32:31+00:00,22794,2306,0.0
1198343931005505536,2019-11-23 20:53:51+00:00,53194,6320,0.25
1197952164565372929,2019-11-22 18:57:07+00:00,26552,2909,0.5
1197697924429271040,2019-11-22 02:06:51+00:00,25042,2638,0.0
1197612306705707013,2019-11-21 20:26:39+00:00,48126,7198,0.0
1194753812768026624,2019-11-13 23:08:01+00:00,1118,41,0.16
1194708409251069952,2019-11-13 20:07:36+00:00,24642,1767,0.3333333333333333
1187874934653100032,2019-10-25 23:33:48+00:00,11662,1513,0.075
1187798782198595589,2019-10-25 18:31:12+00:00,8411,583,0.0
1187768486300438528,2019-10-25 16:30:49+00:00,3081,388,0.0
1184896539795308544,2019-10-17 18:18:44+00:00,3907,313,0.0
1184562837961789441,2019-10-16 20:12:43+00:00,195,14,0.0
1184479086724427777,2019-10-16 14:39:55+00:00,5745,257,0.625
1184472448726470657,2019-10-16 14:13:32+00:00,302,20,0.0
1184205373449879552,2019-10-15 20:32:17+00:00,524,22,0.0
1184202345170817024,2019-10-15 20:20:15+00:00,10272,835,0.0
1181980583070748672,2019-10-09 17:11:45+00:00,98,6,0.7
1181978026344697856,2019-10-09 17:01:36+00:00,1294,30,0.0
1181977978496049152,2019-10-09 17:01:24+00:00,1626,48,0.0
1181977669556211712,2019-10-09 17:00:11+00:00,20979,1213,0.11428571428571428
1180171729508995072,2019-10-04 17:24:01+00:00,435,15,0.25
1180135627901284353,2019-10-04 15:00:34+00:00,247,7,0.0
1180132487584010240,2019-10-04 14:48:05+00:00,570,45,0.0
1180127042676936704,2019-10-04 14:26:27+00:00,6518,184,-1.0
1180126971524734976,2019-10-04 14:26:10+00:00,6780,464,0.0
1179793605797523456,2019-10-03 16:21:29+00:00,5335,83,0.0
1179792911443079170,2019-10-03 16:18:44+00:00,10381,305,0.0
1179792762331435013,2019-10-03 16:18:08+00:00,19093,1072,0.0
1179792045088620551,2019-10-03 16:15:17+00:00,60202,7987,-0.15
1179417950438252553,2019-10-02 15:28:46+00:00,24124,2116,0.0
1177677586886987778,2019-09-27 20:13:11+00:00,263,14,0.11818181818181818
1177653741463494656,2019-09-27 18:38:26+00:00,4072,148,0.25
1177653333210910720,2019-09-27 18:36:49+00:00,7652,598,0.2
1177303279325331457,2019-09-26 19:25:49+00:00,3018,304,0.2333333333333333
1177303118293426178,2019-09-26 19:25:11+00:00,2386,156,0.5083333333333333
1177303058130358274,2019-09-26 19:24:56+00:00,2327,221,0.42
1177302388534927363,2019-09-26 19:22:17+00:00,2518,205,-0.4666666666666666
1177302321983893504,2019-09-26 19:22:01+00:00,7878,769,0.375
1177302032371376129,2019-09-26 19:20:52+00:00,3393,291,0.24545454545454548
1177301824128393225,2019-09-26 19:20:02+00:00,5011,699,0.21428571428571427
1177301376759676928,2019-09-26 19:18:16+00:00,2892,345,0.06041666666666667
1177300994864099328,2019-09-26 19:16:45+00:00,18864,2800,0.13636363636363635
1176897278839332865,2019-09-25 16:32:31+00:00,32197,2593,0.0
